Tweet	Task A 	Task B	Task C
@theskindoctor13 Doctors, Advocates, Intellectuals, Common People all are OUTSIDERS, Only Rohinga Muslims are INSIDERS for Mad Mamta. #mamtalosingcontrol #DoctorsFightBack #DoctorsStrike	NOT	NONE	NONE
@ICC @imVkohli And what do we applaud ICC for? For disappointing Worldwide Fans and Sponsors of the tournament by not considering the fact how rains could play spoilsport to the tournament...#ShameOnICC @BCCI	NOT	NONE	NONE
Protest violence with doctor.....  #DoctorsFightBack   #Doctors   #standwithNRS https://t.co/4SSdgyIvEp	NOT	NONE	NONE
West Bengal doctor strike live: IMA declares nationwide strike on Monday; doctors seek apology from Mamata Banerjee https://t.co/qbGQGAKJ3J   #SaveBengal  #DoctorsFightBack	NOT	NONE	NONE
@NBCNews he means everyone talks about him because he is a #MURDERER #attentionseeking #derangedOJ , now he feels he has @Twitter to reply back. Just block him and support @KimEGoldman	NOT	NONE	NONE
I'm sorry, but if Boris Johnson can't be bothered to turn up to a debate with that lot, then he shouldn't be in the running. It is indicative of his attitude to life, and he gets away with it every time. #BorisJohnsonShouldNotBePM	NOT	NONE	NONE
🤡 Happy Birthday President tRumpf! https://t.co/2O47krtroc #JohnMCainDay #TrumpBirthday #HappyBirthdayTrump #fuckTrump #resist	NOT	NONE	NONE
@Colleenldybg13 @therealkevinTE @CajunBlueAZ1 Nothing like a good #Resister Party #fucktrump https://t.co/1N6gAuuWCO	NOT	NONE	NONE
@thehill He's stupid and unethical. What a combo. #DerangedDonald #TrumpisaCriminal #TrumpisaTraitor #TrumpHatesAmerica	HOF	OFFN	TIN
#FuckTrump And retired porn star Melania too. https://t.co/1vU0gtQ0RA	HOF	OFFN	TIN
Because we are also human just like u   We too hv families  We need your support   We always tried and will try our best for you  Dear indian change your mentality and say no to mob lynching of doctors  Support protest  #DoctorsFightBack  #Savethedoctors   #DoctorsStrike https://t.co/qoprR4zb3N	NOT	NONE	NONE
@MohanBhagwat_ #DhoniKeepsTheGlove  Indians, let's  flood the stadium on Sunday with the #BalidanBadge on t-shirts and placards. Fans it's time to stand up for our army &amp; country and show the power and unity of India to ICC and the World!  #DhoniKeSaathDesh its not religious or brand promo.share. https://t.co/eERutbwtbM	NOT	NONE	NONE
@MamataOfficial #NRSMedicalCollege #DoctorsProtest #DoctorsFightBack Dear doctors, I would request you to prescribe our CM with some medicine to cure her indigestion. She ate chop and chaa sold by outsider since the day voting days were announced. #MayPeacePrevailsinNabanna.	NOT	NONE	NONE
And he wear #Balidan Logo 😍♥️prefer to be Indian!! And some Indians says 'that was wrong' 😕 was this???? Use this hashtag and support him #DhoniKeepsTheGlove 🇮🇳 🙏🌹 @msdhoni @ICC https://t.co/yleZ9HNISP	NOT	NONE	NONE
#Democrats Prepare To Repeal #DOJ Rule That Prevents #Presidents From Being #Indicted #TrumpIsATraitor https://t.co/FQ655kEpBK	NOT	NONE	NONE
Jab “Balidaan” likha hi nahi hai toh why the unwanted controversy. So #DhoniKeepsTheGlove but drops the #logo. https://t.co/gD1CFRO7FC	NOT	NONE	NONE
I'm SOOO excited! Going 2 take my granddau 2 DC &amp; NYC 4 the 4th! Can I get away w/ holding up a #FUCKTRUMP sign on PA Ave &amp; taking a selfie? I haven't been on a vaca like this n 30 yrs. I never thot I'd b able 2 travel again b4 my hip surg. #SUMMERVACATION #DCNYCHereWeCome	NOT	NONE	NONE
Some more than others... It's alright it was only 5 years.... #BorisJohnsonShouldNotBePM https://t.co/lQJNrNUNdE	NOT	NONE	NONE
Who's 'The Turnip' ? Answer below .. #BorisJohnsonShouldNotBePM #BollocksToBoris #BollockstoBrexit https://t.co/RME7bZZJig	NOT	NONE	NONE
@WindsorMann @TheRickWilson #FVEY if you listening........ Open the floodgates. #FuckTrump	NOT	NONE	NONE
#SarahSanders leaving her post as the worst lying Press Secretary of the United States of #America, under a men who is unfit to lead anything. Sarah you are disgraceful, #badChristian and #godlessWomen. Why would you support such a #douchebag, grabbed them by #pussyTrump. BBW	HOF	OFFN	TIN
Boris Johnson is a winner but we won’t buy his car | News | The Sunday Times https://t.co/29FxZP2BTn #BorisJohnsonShouldNotBePM	NOT	NONE	NONE
#ShameOnICC     Poor #WorldCup2019 https://t.co/7eGi2Rwvrd	NOT	NONE	NONE
@WhiteHouse Scary that WH thinks this is worth promoting. This coming from an Onion or Rogue account would be normal. #DerangedDonnie #TrumpIsUnhinged #TrumpIsATraitor https://t.co/1JigSPCQqK	NOT	NONE	NONE
Carragher has just compared TAA to beckham what ! Worlds apart you clown ! #dickhead	NOT	NONE	NONE
America is interfering with our oppression. We try to make friends with Russia, they interfere. We try making friends with China, they interfere. #fuckTrump	NOT	NONE	NONE
#ShameOnICC useless body!!! Simple eh solla pona... THU!!!	NOT	NONE	NONE
Dhoni will always be my Captain' - 7th time so far Kohli has said these lines since Dhoni stepped down from Captaincy !!!!💗💗💗  @ChennaiIPL @imVkohli @msdhoni #IndiaWithDhoni #DhoniKeepTheGlove #DhoniKeepsTheGlove #ICCCricketWorldCup2019 https://t.co/u7Pfr9WBJA	NOT	NONE	NONE
@dhruv_rathee You exactly know why #Modi won. #DhoniKeepsTheGlove #ICCWC2019	NOT	NONE	NONE
ICC doesn't care because @ICC is protected by rain insurance cover for #CWC19 which means it will be compensated for the refunds it is required to pay to ticket holders as applicable. #ShameOnICC #INDvNZ https://t.co/tSp4kQqiND	NOT	NONE	NONE
#ShameOnICC #CWC2019 #WorldCup2019 @ICC @ECB_cricket .. New World Cup Logo ✌🏻 https://t.co/PmWBct8Ffs	NOT	NONE	NONE
My little crazy gal. Looking all fun and innocent and weird like she hasn't started bringing home half dead birds 🐦 #cats #crazycat #murderer #strikeapose #birdkiller https://t.co/g8L0ErX9JX	NOT	NONE	NONE
When the chick on #lovelsland that’s never been in a relationship starts giving out relationship advice #dickhead #wasteman https://t.co/y4vG3ZjKGH	NOT	NONE	NONE
David Jones thinks Boris Johnson is best placed to take on another ´big personality´, Farage. 'He is the most recognisable politician in the country.'  So?  Trump is the most recognisable politician in the States.  @ElspethElspeth #BorisJohnsonShouldNotBePM   https://t.co/kqFXPGsZBW	NOT	NONE	NONE
Arey woh Independent #India ka citizen hai, n he holds an army rank. Taklif kya hai be. #DhoniKeepTheGlove #DhoniKeepsTheGlove #DhoniKeSaathDesh #BCCI #BCCYICW2019 #ICC #WorldCup2019 https://t.co/hxeWTfIMHE	NOT	NONE	NONE
If @Conservatives MPs end up voting 4 @BorisJohnson despite his avoidance of public debate &amp; present himself, it shows the party is rotten 2 the core; it will show that deals have been made with MPs. People should C #borisjohnson’s incompetence on stage #BorisJohnsonShouldNotBePM	NOT	NONE	NONE
@WhiteHouse #HappyJohnMcCainDay!  #JohhMcCainDay     Also, #FuckTrump https://t.co/9zEIZNawTU	NOT	NONE	NONE
What a great ful innings from our team india #MenInBlue  #DhoniKeepsTheGlove #shockedkohilbydhonisix https://t.co/O0Gnre0mzt	NOT	NONE	NONE
#ShameOnICC - ICC is earning billions from this event, but #ICC could have managed the event in much better way and could win #CricketWorldCup19 https://t.co/lUOja0A70D	NOT	NONE	NONE
@ICC has insulted our Army and MSDhoni. As a proud Indian should we #BoycottWorldCup or not? My opinion is Yes. #DhoniKeepTheGlove #DhoniKeSaathDesh #DhoniKeepsTheGlove #DhoniKeepTheGloves #IndiaWithDhoni #INDvAUS #INDvsAUS	NOT	NONE	NONE
Photograph from yesterday. Emergency OT services at Murshidabad Medical College continue. #DoctorsFightBack #SaveTheDoctors https://t.co/nr63tqIjN1	NOT	NONE	NONE
Nation respect is more than cricket #DhoniKeepsTheGlove	NOT	NONE	NONE
Team Anna Faris 😒 #douchebag https://t.co/df0EfUQbCA	NOT	NONE	NONE
We’ll be outside Speaker Pelosi’s SF office demanding an #impeachmentinquirynow on Friday @ 12:00pm. Dressed as Founding Fathers. Of course.    #resist #resistance #fucktrump #impeachtrump #impeach #impeachment #itmfa… https://t.co/1ZEAREdNlj	NOT	NONE	NONE
Such a hypocrite and liar you are Mr. Selected PM @ImranKhanPTI.  Why don't you accept you failed miserably in past 10 months? Stop crying about past. Show progress or go home. You could not achieve any of your 2018-2019 set goals.  #imranhataomulkbachao https://t.co/Ix11t9ggP2	HOF	OFFN	TIN
@realDonaldTrump Happy #JohnMcCainDay! #TrumpForPrison #TrumpIsATraitor #TrumpIsNotAboveTheLaw #TrumpCrimeFamily	NOT	NONE	NONE
India is about 13 times bigger than United Kingdom. While UK spends 9.8% on health (and still underfunded) India spends a mere 1.4% of it's GDP amd blames doctors for everything that's wrong in the system. #DoctorsFightBack #DoctorsStrike	NOT	NONE	NONE
@MysterySolvent #FuckTrump who gives a shit what he does! #June14thJohnMcCainDay	NOT	NONE	NONE
@BleacherReport @brhoops Literally have seen 7th grade girls basketball with FAR better shooting technique and overall look than this bozo. #douchebag	NOT	NONE	NONE
If Army is not a part of any political party, then i believe every political parties should support dhoni for wearing #BalidanBadge #DhoniKeepsTheGlove	NOT	NONE	NONE
Funny how the attacks on doctors are all happening in non-BJP states and the media is deciding to be silent on the matter! #DoctorsFightBack #BengalViolence #Kerala #DoctorsProtest https://t.co/RfkER321P2	NOT	NONE	NONE
If it wasn't so serious it would be hilarious ...    #BorisJohnsonShouldNotBePM   #BollocksToBoris   #BollocksToBrexit https://t.co/02iZJRJPKM	NOT	NONE	NONE
Even John Barron &amp; John Miller call BS. #douchebag #POTUS https://t.co/lPm7UGG52W	NOT	NONE	NONE
@ABC @GStephanopoulos LMAO HE BELIEVED A LYING #MURDERER! THE #STUPIDTY! You promised you'd release tax returns, OOOOOPS!	NOT	NONE	NONE
#liarSarahHuckabeeSanders is leaving #fakeDonaldTrump's administration!  About time.  So sick of listening to her lies.  Too bad we still have to listen to #idiotTrump's lies, you know, when any words are falling from his mouth or he is tweeting - those lies.  #ImpeachTrumpNow	NOT	NONE	NONE
‘Home they brought her warrior dead.. She nor swooned nor uttered cry’ - Alfred Lord Tennyson..    She didn’t cry coz she was a warrior too..    He died of assault from the same people he tried to save..     #DoctorsFightBack	NOT	NONE	NONE
After reading this article I had to vomit 🤮 #TrumpIsATraitor https://t.co/1ItNfUDNbO	NOT	NONE	NONE
Another example of blatant hypocrisy from @BorisJohnson @Conservatives you’ve lost my vote #C4LeadershipDebate #BorisJohnsonShouldNotBePM https://t.co/RWttc3mt09	NOT	NONE	NONE
#TrumpisaTraitor. Stop trying to lead us into a war based on lies to cover up your crimes and treason! We are watching! https://t.co/OudBZfqwPm	NOT	NONE	NONE
I'm not from Central Casting' It seems Sajid javid has hired some American campaign consultants. #C4debate #ToryLeadershipContest #Conservatives #BorisJohnsonShouldNotBePM https://t.co/dxAEzkkEcM	NOT	NONE	NONE
@realDonaldTrump Donald, you went on TV and admitted that you would readily take help from foreign sources to win elections. You are GUILTY of collusion! The Steele Dossier was paid for and instituted by Republicans. #TrumpLies #TrumpIsAFraud #TrumpIsATraitor #ImpeachDonaldTrump	NOT	NONE	NONE
Have we failed our Doctors? https://t.co/4OTEkcOB7A via @wordpressdotcom #DoctorsFightBack #DoctorStrike #WestBengal	NOT	NONE	NONE
#ShameOnICC #CWC19 #CWC2019     *Rain Conditions Explained* https://t.co/Sfi4pzuxIX	NOT	NONE	NONE
Protest against Mamta Banerjee and effigy burning in SCB Medical College, Cuttack, odisha. #DoctorsFightBack #standwithNRS #SaveBengal #Savethedoctors https://t.co/Pqf2lPoPdW	NOT	NONE	NONE
@DisavowTrump20 @Michael48884043 @saragideon I will protect #RobertMueller at all costs. #TrumpColluded #TrumpIsATraitor	NOT	NONE	NONE
The danger of #PoliticalCorrectness lies in its ability to silence the #Truth It is a sophisticated form of #Hypocrisy which resulted in #Trump #TrumpIsATraitor #TrumpResign #Resisters #ResistersForum #FBResistance #FBRParty #TheResistanceRises #BlueWave #BlueWave2020 #VoteBlue https://t.co/tqCYQER0L1	NOT	NONE	NONE
Rain may dampen Star's plans to earn around ₹100 cr from India-Pak WC match #CricketWorldCup2019 #INDvsPAK #ShameOnICC #hotstar #IndianCricketTeam https://t.co/quAs7wiWet	NOT	NONE	NONE
Thank you @BCCI for standing by @msdhoni's decision #DhoniKeepsTheGlove #IndiaWithDhoni #DhoniKeepTheGlove #CWC19 #MSDhoni #Dhoni #Mahi #CaptainCool #WhistlePodu #Yellove #keepthegloves #BalidaanBadge #BalidanBadge	NOT	NONE	NONE
#ShameOnICC  It is really heartbreaking for every cricket fan around the world. Shame on @ICC that they didn't keep any reserve day for washed out matches.. England witnesses rain during this time so the @ICC must have kept numerous options but they failed , ruined CWC 2019.😠😡	NOT	NONE	NONE
#shameonicc Breaking News - ICC seriously thinking of Book Cricket World Cup.	NOT	NONE	NONE
@AjayKushwaha_ @realDonaldTrump PRESIDENTIAL HARASSMENT: @realDonaldTrump asking @BarackObama for his birth certificate for YEARS !!! while hiding his own #taxreturns #Resistance #LockThemAllUp #FuckTrump #ComplicitGOP #Resist https://t.co/lF2am3njsh	NOT	NONE	NONE
@cricketworldcup @niallnobiobrien Concentrate on Weather condition and location, not on Dhoni’s glows #DhoniKeepsTheGlove	NOT	NONE	NONE
Enact the FIRE Act to Require Political Campaigns Disclose Foreign Contacts: https://t.co/8cnZf9tAI3 #TrumpIsATraitor #ForeignInterference	NOT	NONE	NONE
Especially #BorisJohnsonShouldNotBePM https://t.co/81Ldki3qGH	NOT	NONE	NONE
Jamshedpur State Doctors stands in solidarity with their West Bengal counterparts  #DoctorsFightBack	NOT	NONE	NONE
@GOPLeader @SusanWBrooks #HappyJohnMcCainDay   🙌🏻🙌🏻🙌🏻🙌🏻💙🙌🏻💙🙌🏻🙌🏻💙🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻💙💙💙💙🙌🏻    #TrumpIsATraitor  and so are you KEVIN	NOT	NONE	NONE
@realDonaldTrump #FridayMotivation? Correct #Trump. He wrote, “The dishonest media will NEVER keep us from accomplishing our objectives on behalf of our GREAT AMERICAN PEOPLE! #MAGA” I say, “Dishonest Trump will NEVER keep us from from restoring DEMOCRACY on behalf of all Americans!” #FuckTrump https://t.co/eDOGNKbkjM	NOT	NONE	NONE
This week marks 25 years since the killings of #NicoleBrownSimpson &amp; #RonGoldman for which @TheRealOJ32 now has a @twitter acct. #murderer was charged with murder &amp; found not guilty at his criminal trial. BLOCK HIM &amp; follow @KimEGoldman https://t.co/UmcYGYylSW via @frednewspost	NOT	NONE	NONE
Arrogant @BorisJohnson refuses to turn up to #C4debate. Is he allergic to debates and hustings? #BorisJohnsonShouldNotBePM	NOT	NONE	NONE
@campbellclaret The irony of this!!! #murderer	NOT	NONE	NONE
#DhoniKeepsTheGlove  #DhoniKeSaathDesh  #IndiaWithDhoni    What you support ?	NOT	NONE	NONE
#ShameOnICC what a arrangement..	NOT	NONE	NONE
@realDonaldTrump It was a Miracle. A Russian Miracle! #TrumpIsATraitor	NOT	NONE	NONE
Ex-WH counsel plans to tell Congress he sees similarities between Nixon and Trump #Resist #ResistTrump #FuckTrump https://t.co/AyNjX8wRLv	NOT	NONE	NONE
Former Trump advisor George Nader ordered jailed until his child porn trial #Resist #ResistTrump #FuckTrump https://t.co/ALmbyrvo9P	NOT	NONE	NONE
#FUCKtrump Jackie O didn’t do Lesbian Porno movies.	NOT	NONE	NONE
@ICC has no problem with the entire Pakistan cricket team marking territory by praying on the cricket field (part of Muslim ritual prayer) but find insignia on  @MSDhoni  's gloves inappropriate.  https://t.co/JmXHS0N403 #DhoniKeepsTheGlove	NOT	NONE	NONE
However doctors are ready for open healthy discussion with the CM and are willing to resolve the matter as soon as possible. But it has to be open and transparent. #DoctorsProtest #SaveTheSaviours #Savethedoctors #DoctorsFightBack	NOT	NONE	NONE
@realDonaldTrump You don't have any friends! #FUCKTRUMP #RESIST #VETSAGAINSTTRUMP #JohnMcCainDay	NOT	NONE	NONE
⁦@realDonaldTrump⁩ puts GOP in tough spot with remarks on foreign 'dirt' #TrumpIsATraitor #TrumpRussiaCollusion #PutinsPuppet  https://t.co/EqGikBelo3	NOT	NONE	NONE
When you’re more interested about stopping leaks then doing something to improve, you’re the same as Nixon! #TrumpIsATraitor #TrumpMustGo Trump campaign fires multiple pollsters after unflattering numbers leak https://t.co/rnUgWuf4HH	NOT	NONE	NONE
#boss da.. #DhoniKeepsTheGlove #MSDHONI is forever #Goat for me... 😎😎 @msdhoni #CWC19 @cricketworldcup https://t.co/vjqYfFYmJ4	NOT	NONE	NONE
The theme song for this World Cup should be Rain, Rain go away come again another day, little spectators want their big stars to play. Carrying the same, here is something humorous. Let's break the monotony😅🤟🏻 #ShameOnICC #CWC19 #rain #ICCWorldCup2019 https://t.co/5AI9j5cTL5	NOT	NONE	NONE
@realDonaldTrump 'Presidential' incompetence, corruption, and treason!!!! #Tre45on #FuckTrump #ResistFascism #BillionDollarLoser #ImpeachTrumpNow #25thAmendmentNow https://t.co/OQLnxjjxwX	NOT	NONE	NONE
#murderer American hunter says she has no regrets about killing a black giraffe https://t.co/c23ulj11r6 via https://t.co/TPRJZbEWdA	NOT	NONE	NONE
Watching #Charmed because #charmedreboot put me back in the mood. Was not prepared for the #dream #rapist episode. @DohertyShannen acted the fudge out of that episode. #StrongWoman	NOT	NONE	NONE
And the World Cup goes to ICC !!!  #ShameOnICC @ICC	NOT	NONE	NONE
@realDonaldTrump A special day, for an extra-special scumbag.  #Trump #TrumpIsATraitor #HappyBirthdayMrPresident   #potus #FridayFeeling #FridayMotivation     https://t.co/q3ScQULIO3	NOT	NONE	NONE
#DoctorsFightBack How it How Mamta actually is Banerjee sees it https://t.co/ovCaeh4xE8	NOT	NONE	NONE
Why they not put the covers in all over the ground, and who make the schedule of world cup ... Dont you knw the weather forcasting before 😕 #ShameOnICC	NOT	NONE	NONE
The CM of the State, also the Health Minister, and such a ruthless response to the State Governer?? @MamataOfficial has completely lost the #WestBengal The situation is worse than what is actually looks from the videos/pictures at Social media &amp; News #DoctorsFightBack #SaveBengal https://t.co/4wz5uHDCUv	NOT	NONE	NONE
@texasnana2019 Tell that to #Trump. Too many of you have led him to believe they’re on AT LEAST equal footing. #TrumpIsATraitor #TrumpCrimeFamily	NOT	NONE	NONE
#Sachin Tandolker : a Biography || #ParallelMedia | https://t.co/UHegopogBS via @YouTube  #IndiaWithDhoni  #WWESSD  #DhoniKeSaathDesh  #DhoniKeepsTheGlove  #BharatRoarsOnDay3  #Kundru  #BIGDAYSGAZEONTANHAJI  #KNACKDHANUSHBIRTHDAYIN50D   #Thiem  #SaketKumar	NOT	NONE	NONE
We stand with @msdhoni infact #indiastandswithdhoni  #DhoniKeepsTheGlove https://t.co/pOVVKZK7wy	NOT	NONE	NONE
Who's your favorite going into the #DemDebate ? #2020Election #fucktrump #resist #progressive	NOT	NONE	NONE
CM of WB will never dare to do the right thing..catch the Gunda. How can a dictator who has lost her mind arrest Gunda? She can't arrest her own voters even if they murder doctors. Everything is allowed for voters. No level. Too low #DoctorsFightBack	NOT	NONE	NONE
Brexit on WTO terms?    Great news for jam lovers ..  https://t.co/YDgVsE4BDs    #BorisJohnsonShouldNotBePM   #BollocksToBoris   #BollockstoBrexit https://t.co/xO989Qy1RM	NOT	NONE	NONE
#BCCI You guys are truly assamed of you the indipendent body and representing the country whose has this much cricket fans, Be strict and stand with #DhoniKeepsTheGlove ,	NOT	NONE	NONE
@peterdaou @DisTrumpia He isn't. #TrumpIsATraitor	NOT	NONE	NONE
@MrsGandhi @priyankagandhi Vinash kaale vipreet budhhi The sister is just as half minded as his brother. #congressmuktbharat	HOF	OFFN	TIN
@jlmcwebb @ScoutSteveR Would make perfect sense if it was #douchebag	NOT	NONE	NONE
Trump (since March): No collusion, no coullusion! Trump (Now): Anyone down to collude? Anyone? I won't call the FBI, I promise! #TrumpIsATraitor https://t.co/i2WdQLqcSd	NOT	NONE	NONE
#ShameOnICC Good point raised on Indian TV - @ICC takes a bigger load of money from India and robs the Indian fans of WC experience - so Indians are being robbed twice!! Shame on @BCCI for letting ICc get away @KirenRijiju Why should a toothless org like @ICC run the game?	NOT	NONE	NONE
#INDvAUS #DhoniKeepsTheGlove Dhoni's change of gloves had no adverse effects on him or team India.	NOT	NONE	NONE
@MamataOfficial Didi your contentious comment 'Outsiders' had created a chaos all around #Bengal &amp; the healthcare service in the country have been badly disrupted and many people are dying because of the absence of the doctors.  #BengalBurning   #BengalViolence   #DoctorsFightBack	NOT	NONE	NONE
#DoctorsFightBack     Parents reaction when a doctor returns home safely in Bengal https://t.co/Tp4zm1PMjy	NOT	NONE	NONE
#DhoniKeepsTheGlove if ICC does not allow, wear a #BalidanBadge 'Locket' @msdhoni. Also urge all proud Indian viewers to display posters of batch in Pak match. Jai Hind..	NOT	NONE	NONE
Chances are @ICC might also censure/ban cricketers to not have photos of their Gods in their kits, fearing that they might be merging religion &amp; sport, not caring about the athlete’s own personal &amp; religious beliefs. #DhoniKeepsTheGlove @BDUTT https://t.co/dWOQGlcq5T https://t.co/8PciXpjrmZ	NOT	NONE	NONE
A straight couple behaving badly caused the panicked stampede at DC’s Pride parade #Resist #ResistTrump #FuckTrump https://t.co/6QVcCp4wyX	NOT	NONE	NONE
Today's is Trumps' birthday so lets make this a TRUMP FREE day. After this post I will NOT post anything about Trump all weekend. #fucktrump #impeachtrump #impeach45 #boycotttrump https://t.co/GFEF46wfCS	NOT	NONE	NONE
#ShameOnICC thank you for ruining the most awaited tournament in India @ICC	NOT	NONE	NONE
#IndiaWithDhoni #DhoniKeepTheGlove #DhoniKeepsTheGlove #DhoniKeSaathDesh Useless issue created by ICC. https://t.co/B4lpxaDyOY	NOT	NONE	NONE
@NYCMayor @NYCSpeakerCoJo @Dromm25 @NYCCouncil More subsidies for illegal aliens?  #Douchebag	NOT	NONE	NONE
This woman is completely out of her mind. She has lost it all. Such a shame. #DoctorsStrike   #SaveTheDoctors   #DoctorsFightBack https://t.co/IsagyI6fZ8	NOT	NONE	NONE
@realDonaldTrump Doesn’t that mean half the country HATES you? #FUCKTRUMP	NOT	NONE	NONE
BBC News - #RedChina’s history of extraordinary #rendition https://t.co/wlQGJSZh4h #BoycottChina #HongKong	NOT	NONE	NONE
Have a great day! #fucktrump	NOT	NONE	NONE
@CarolinePidgeon scrutinised and endured @BorisJohnson wasting public money. The role of a politician includes ensuing public money is not wasted. For that alone he should be fired! Recall petition in Uxbridge please! Not convinced? Read on... #BorisJohnsonShouldNotBePM https://t.co/I9FyZfgTBc	NOT	NONE	NONE
#DhoniKeepsTheGlove Dear @ICC this is not any promotion which @msdhoni is doing. He is supporting Indian Army and our soldiers. @BCCI it is request to no ask Mr Dhoni to remove. We are proud of him and our brave soldiers. It will not be dropped from his gloves.	NOT	NONE	NONE
The entire nation will respect these doctors if they continue to serve patients in the same hospitals even after their resignation #DoctorsFightBack https://t.co/s175eS5M2I	NOT	NONE	NONE
Not 500 doctors, these 500 are medical college faculties - Professors, Associate and Assisatant Professors with years of experience. It’ll take 25 yrs for the govt to replace them 🤷🏻‍♂️ #DoctorsFightBack https://t.co/reCztnBubT	NOT	NONE	NONE
Some things are wrong in absolute. Kiski Sarkar k time hua, uske pehle kya hua thha, kis context me hua thha ye game khelna band kare.   #DoctorsFightBack #Savethedoctors	NOT	NONE	NONE
#DoctorsFightBack @MamataOfficial didi is a worst politicians ever arrogant lady @Avinash_Hodar	HOF	OFFN	TIN
Restore justice to #Doctor'sFraternity #DoctorsFightBack #SaveTheDoctors #IstandwithNRS https://t.co/CEz9Meb9K3	NOT	NONE	NONE
This world cup is trying to compete with 2007 world cup for being most boring and unsuccessful world cup #ShameOnICC	NOT	NONE	NONE
@Annette_Meisner He need to help you Cause yo face falling.... #FuckTrump	NOT	NONE	NONE
Personally I thought @RoryStewartUK came across best on #C4Debate. Given the other candidates represent varying extremes it's nice to see there is still space for someone moderate. Certainly more statesman-like than an empty podium #BorisJohnsonShouldNotBePM	NOT	NONE	NONE
There is an upcoming Democratic Debate from 20 candidates in less than a week. And some #Resisters are focused on GFMs, BMCs, Bullying, Outing. We need to ensure we have people who are eligible and are American Citizens to #VoteBlue #TuneOutTheNoise #TrumpResign #TrumpIsATraitor	NOT	NONE	NONE
@smiller4002 Hi Scott. Count me in please, and thanks for uniting all #Resisters   #HappyJohnMcCainDay  #HappyJohnMcCainDay   #HappyJohnMcCainDay   #HappyJohnMcCainDayJune14   #FuckTrump	NOT	NONE	NONE
Advice to #Doctors going on Strike, instead they should refuse to attend @MamataOfficial's #Government officials and elected representatives of the people. Why people suffer for no fault of theirs.  #DoctorsFightBack   @BJP4India @drharshvardhan   @jpgoswami_delhi @baldev_bahl	NOT	NONE	NONE
Everyone concerned about the doctors strike and issues they raise must also read this. #DoctorsFightBack #DoctorStrike https://t.co/wnY9p9TqIY	NOT	NONE	NONE
@JohnnyMercerUK Be honest - would you have wanted @BorisJohnson as your commanding officer while you were in the army? Your life in his lazy, lying, sloppy, self-serving, self-indulgent hands? Of course you wouldn't - so why back him to lead the country? #BorisJohnsonShouldNotBePM	NOT	NONE	NONE
This is really ugly. Hope at least no shower on finals..... #ShameOnICC	NOT	NONE	NONE
@Nidhi @ShekharGupta There are far more important issues to be reported n sorted out. Leave this to the @BCCI which will definitely come up a better solution than you two poking your noses unnecessarily.  #DhoniKeepsTheGlove #DhoniKeSaathDesh #JusticeForTinkleSharma	NOT	NONE	NONE
@___faiiith There's a law being considered to be enacted into the US constitution. Any #rapist who has been found guilty should have their genitals mutilated chemically before being released.  If our #Government could consider such, we may have a solution to rape for fear of being mutilated.	NOT	NONE	NONE
@TheRealOJ32 @KrisJenner So have you paid anything at all to Mr Goldman yet for killing his son? I doubt it but here you are trying to 'set things straight'. #Murderer	NOT	NONE	NONE
They say colouring is therapeutic..... I just finished my newest piece and I couldn’t agree more ❤️🤣👊😂🙏 #canadianshatetrump #ResistTogether #fucktrump https://t.co/p7VSz9zexe	NOT	NONE	NONE
✨NEW✨    Frankie Say Impeach - retro tee!     Get yours here 👉 https://t.co/3eEmeSGtMx    #ImpeachTrump #FuckTrump #ImpeachmentNOW https://t.co/jm8UGnc6AD	NOT	NONE	NONE
I have never ever seen this kind of world cup.@ICC u should have done better plan.Atleast u can look after the ground by covering complete ground. #ShameOnICC U should learn from BCCI management #ipl	NOT	NONE	NONE
#ShameOnICC ipl planned well or world cup	NOT	NONE	NONE
Retweet if you have PayPal/CashApp and want me to send you money 💰 Must be following. #findom #paypig sugar daddy #cuck #moneyslave #cashcow #SugarBabiesNeeded #CopaAmerica #DoctorsFightBack #bank #SugarDaddys #findom #bitcoin #blockchain #BREAKING #SaturdayMorning #money #BC	NOT	NONE	NONE
@SethAbramson Trump is operating an international Crime Syndicate within the United States Government. He's feeling the heat, and here's proof of #TraitorTrump's M.O. in a former tweet. #TrumpIsaTraitor #ImpeachTrumpNow https://t.co/wH1chVuzjl	NOT	NONE	NONE
She has proved the saying of our #Ved... 'Vinaash Kale Vipreit Buddhi' meaning when one's doom approaches..the person intellect works against his/her best interest. #SaveBengal #SaveTheDoctors #DoctorsFightBack #DoctorsProtest #DoctorsUnderOppression https://t.co/Cr3aSLEBGU	NOT	NONE	NONE
🔴🏴🐾#OpBeast #AnimalRights #WorldDogShow2019 #China #YulinDogMeatFestival Let us become aware of this horrible tradition. Let the international community open its eyes and once we stop the indiscriminate killing of dogs. #BoycottChina https://t.co/xE0r1USiaG	NOT	NONE	NONE
@ChildofGodSandy To Sandra and the rest of the #religious world; You do not know God either, and if you still say you do, prove it! LGBTs don't ask for #special #rights, they ask for #EQUALITY. Churches have special rights, they don't pay #tax. I ate an #egg, am I a #chicken-#murderer?	NOT	NONE	NONE
